Files already downloaded and verified
Files already downloaded and verified
  0%|                                                                                                                                                                    | 0/5 [00:00<?, ?it/s]
Net(
  (conv1): Conv2d(3, 6, kernel_size=(5, 5), stride=(1, 1))
  (pool): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv2): Conv2d(6, 16, kernel_size=(5, 5), stride=(1, 1))
  (fc1): Linear(in_features=400, out_features=120, bias=True)
Loss after 17796examples: 1.711
Loss after 17896examples: 1.742
Loss after 17996examples: 1.382
Loss after 18096examples: 1.200
Loss after 18196examples: 1.945
Loss after 18296examples: 1.477
Loss after 18396examples: 1.534
Loss after 18496examples: 1.938
Loss after 18596examples: 1.311
Loss after 18696examples: 1.301
Loss after 18796examples: 1.088
Loss after 18896examples: 2.002
Loss after 18996examples: 1.629
Loss after 19096examples: 1.695
Loss after 19196examples: 1.487
Loss after 19296examples: 1.144
Loss after 19396examples: 1.550
Loss after 19496examples: 1.933
Loss after 19596examples: 1.373
Loss after 19696examples: 1.748
Loss after 19796examples: 1.642
Loss after 19896examples: 1.969
Loss after 19996examples: 1.404
Loss after 20096examples: 1.798
Loss after 20196examples: 1.464
Loss after 20296examples: 1.523
Loss after 20396examples: 1.806
Loss after 20496examples: 1.796
Loss after 20596examples: 1.655
Loss after 20696examples: 2.747
Loss after 20796examples: 1.798
Loss after 20896examples: 1.903
Loss after 20996examples: 1.097
Loss after 21096examples: 2.172
Loss after 21196examples: 1.540
Loss after 21296examples: 2.204
Loss after 21396examples: 1.888
Loss after 21496examples: 1.266
Loss after 21596examples: 1.877
Loss after 21696examples: 2.099
Loss after 21796examples: 2.067
Loss after 21896examples: 1.480
Loss after 21996examples: 1.290
Loss after 22096examples: 2.000
Loss after 22196examples: 1.301
Loss after 22296examples: 1.697
Loss after 22396examples: 1.302
Loss after 22496examples: 1.322
Loss after 22596examples: 1.602
Loss after 22696examples: 1.769
Loss after 22796examples: 1.685
Loss after 22896examples: 2.594
Loss after 22996examples: 2.323
Loss after 23096examples: 1.231
Loss after 23196examples: 1.521
Loss after 23296examples: 2.263
Loss after 23396examples: 1.083
Loss after 23496examples: 1.318
Loss after 23596examples: 1.038
Loss after 23696examples: 1.232
Loss after 23796examples: 1.999
Loss after 23896examples: 1.514
Loss after 23996examples: 1.817
Loss after 24096examples: 1.921
Loss after 24196examples: 1.210
Loss after 24296examples: 2.049
Loss after 24396examples: 1.766
Loss after 24496examples: 1.916
Loss after 24596examples: 1.469
Loss after 24696examples: 1.922
Loss after 24796examples: 0.867
Loss after 24896examples: 1.434
Loss after 24996examples: 0.797
Loss after 25096examples: 1.607
Loss after 25196examples: 1.752
Loss after 25296examples: 1.337
Loss after 25396examples: 2.069
Loss after 25496examples: 1.322
Loss after 25596examples: 1.929
Loss after 25696examples: 1.051
Loss after 25796examples: 1.242
Loss after 25896examples: 1.342
Loss after 25996examples: 0.971
Loss after 26096examples: 1.266
Loss after 26196examples: 1.687
Loss after 26296examples: 2.461
Loss after 26396examples: 1.460
Loss after 26496examples: 1.793
Loss after 26596examples: 2.394
Loss after 26696examples: 1.075
Loss after 26796examples: 0.636
Loss after 26896examples: 1.455
Loss after 26996examples: 1.533
Loss after 27096examples: 1.766
Loss after 27196examples: 1.629
Loss after 27296examples: 1.569
Loss after 27396examples: 1.568
Loss after 27496examples: 1.625
Loss after 27596examples: 2.899
Loss after 27696examples: 1.606
Loss after 27796examples: 1.243
Loss after 27896examples: 0.892
Loss after 27996examples: 1.420
Loss after 28096examples: 2.057
Loss after 28196examples: 1.520
Loss after 28296examples: 2.054
Loss after 28396examples: 1.814
Loss after 28496examples: 2.312
Loss after 28596examples: 1.320
Loss after 28696examples: 1.806
Loss after 28796examples: 1.671
Loss after 28896examples: 1.473
Loss after 28996examples: 1.392
Loss after 29096examples: 0.912
Loss after 29196examples: 1.350
Loss after 29296examples: 0.895
Loss after 29396examples: 1.630
Loss after 29496examples: 2.091
Loss after 29596examples: 1.764
Loss after 29696examples: 2.112
Loss after 29796examples: 1.566
Loss after 29896examples: 1.104
Loss after 29996examples: 1.586
Loss after 30096examples: 0.977
Loss after 30196examples: 1.738
Loss after 30296examples: 2.503
Loss after 30396examples: 2.039
Loss after 30496examples: 2.130
Loss after 30596examples: 2.172
Loss after 30696examples: 1.478
Loss after 30796examples: 1.389
Loss after 30896examples: 1.603
Loss after 30996examples: 1.252
Loss after 31096examples: 1.066
Loss after 31196examples: 1.523
Loss after 31296examples: 0.950
Loss after 31396examples: 2.820
Loss after 31496examples: 2.213
Loss after 31596examples: 2.050
Loss after 31696examples: 1.041
Loss after 31796examples: 1.945
Loss after 31896examples: 2.033
Loss after 31996examples: 1.976
Loss after 32096examples: 1.274
Loss after 32196examples: 1.235
Loss after 32296examples: 1.346
Loss after 32396examples: 1.057
Loss after 32496examples: 1.245
Loss after 32596examples: 3.859
Loss after 32696examples: 1.232
Loss after 32796examples: 1.012
Loss after 32896examples: 0.588
Loss after 32996examples: 2.235
Loss after 33096examples: 2.024
Loss after 33196examples: 2.290
Loss after 33296examples: 1.462
Loss after 33396examples: 1.948
Loss after 33496examples: 1.845
Loss after 33596examples: 1.428
Loss after 33696examples: 0.698
Loss after 33796examples: 0.602
Loss after 33896examples: 1.653
Loss after 33996examples: 1.828
Loss after 34096examples: 1.247
Loss after 34196examples: 2.092
Loss after 34296examples: 1.747
Loss after 34396examples: 2.226
Loss after 34496examples: 0.692
Loss after 34596examples: 1.428
Loss after 34696examples: 1.249
Loss after 34796examples: 0.807
Loss after 34896examples: 0.509
Loss after 34996examples: 1.457
Loss after 35096examples: 0.914
Loss after 35196examples: 0.794
Loss after 35296examples: 1.734
Loss after 35396examples: 1.681
Loss after 35496examples: 0.863
Loss after 35596examples: 3.370
Loss after 35696examples: 2.411
Loss after 35796examples: 1.296
Loss after 35896examples: 0.932
Loss after 35996examples: 1.730
Loss after 36096examples: 1.884
Loss after 36196examples: 2.059
Loss after 36296examples: 1.203
Loss after 36396examples: 2.473
Loss after 36496examples: 1.757
Loss after 36596examples: 1.190
Loss after 36696examples: 0.602
Loss after 36796examples: 0.733
Loss after 36896examples: 2.120
Loss after 36996examples: 0.950
Loss after 37096examples: 0.931
Loss after 37196examples: 1.256
Loss after 37296examples: 0.806
Loss after 37396examples: 1.159
Loss after 37496examples: 1.119
Loss after 37596examples: 1.979
Loss after 37696examples: 0.854
Loss after 37796examples: 1.514
Loss after 37896examples: 1.440
Loss after 37996examples: 1.539
Loss after 38096examples: 1.155
Loss after 38196examples: 1.323
Loss after 38296examples: 2.265
Loss after 38396examples: 1.532
Loss after 38496examples: 1.348
Loss after 38596examples: 1.651
Loss after 38696examples: 3.360
Loss after 38796examples: 2.339
Loss after 38896examples: 1.775
Loss after 38996examples: 1.126
Loss after 39096examples: 1.732
Loss after 39196examples: 1.468
Loss after 39296examples: 1.441
Loss after 39396examples: 1.049
Loss after 39496examples: 1.006
Loss after 39596examples: 2.165
Loss after 39696examples: 2.115
Loss after 39796examples: 1.565
Loss after 39896examples: 1.789
Loss after 39996examples: 1.545
Loss after 40096examples: 1.663
Loss after 40196examples: 0.906
Loss after 40296examples: 1.159
Loss after 40396examples: 0.961
Loss after 40496examples: 1.499
Loss after 40596examples: 1.536
Loss after 40696examples: 1.908
Loss after 40796examples: 1.264
Loss after 40896examples: 1.225
Loss after 40996examples: 1.785
Loss after 41096examples: 1.881
Loss after 41196examples: 1.163
Loss after 41296examples: 1.730
Loss after 41396examples: 1.266
Loss after 41496examples: 1.679
Loss after 41596examples: 1.199
Loss after 41696examples: 1.443
Loss after 41796examples: 0.761
Loss after 41896examples: 1.911
Loss after 41996examples: 2.110
Loss after 42096examples: 1.323
Loss after 42196examples: 2.249
Loss after 42296examples: 1.394
Loss after 42396examples: 0.847
Loss after 42496examples: 2.182
Loss after 42596examples: 1.376
Loss after 42696examples: 1.892
Loss after 42796examples: 0.812
Loss after 42896examples: 0.765
Loss after 42996examples: 1.457
Loss after 43096examples: 2.053
Loss after 43196examples: 1.253
Loss after 43296examples: 1.946
Loss after 43396examples: 0.824
Loss after 43496examples: 1.995
Loss after 43596examples: 0.610
Loss after 43696examples: 2.079
Loss after 43796examples: 1.677
Loss after 43896examples: 2.210
Loss after 43996examples: 1.445
Loss after 44096examples: 0.905
Loss after 44196examples: 1.163
Loss after 44296examples: 1.998
Loss after 44396examples: 1.262
Loss after 44496examples: 1.162
Loss after 44596examples: 1.414
Loss after 44696examples: 1.115
Loss after 44796examples: 1.648
Loss after 44896examples: 1.720
Loss after 44996examples: 1.444
Loss after 45096examples: 0.601
Loss after 45196examples: 1.973
Loss after 45296examples: 0.307
Loss after 45396examples: 0.528
Loss after 45496examples: 1.256
Loss after 45596examples: 1.150
Loss after 45696examples: 1.288
Loss after 45796examples: 1.886
Loss after 45896examples: 1.778
Loss after 45996examples: 2.226
Loss after 46096examples: 2.303
Loss after 46196examples: 1.578
Loss after 46296examples: 1.843
Loss after 46396examples: 1.525
Loss after 46496examples: 1.924
Loss after 46596examples: 1.139
Loss after 46696examples: 1.207
Loss after 46796examples: 1.827
Loss after 46896examples: 2.163
Loss after 46996examples: 1.112
Loss after 47096examples: 1.519
Loss after 47196examples: 2.216
Loss after 47296examples: 1.324
Loss after 47396examples: 1.383
Loss after 47496examples: 1.840
Loss after 47596examples: 2.015
Loss after 47696examples: 1.044
Loss after 47796examples: 1.149
Loss after 47896examples: 1.676
Loss after 47996examples: 2.193
Loss after 48096examples: 1.066
Loss after 48196examples: 2.019
Loss after 48296examples: 0.741
Loss after 48396examples: 1.301
Loss after 48496examples: 1.305
Loss after 48596examples: 0.808
Loss after 48696examples: 0.783
Loss after 48796examples: 1.464
Loss after 48896examples: 1.169
Loss after 48996examples: 1.402
Loss after 49096examples: 1.927
Loss after 49196examples: 1.537
Loss after 49296examples: 1.340
Loss after 49396examples: 1.578
Loss after 49496examples: 0.587
Loss after 49596examples: 1.163

 20%|███████████████████████████████                                                                                                                            | 1/5 [02:12<08:51, 132.83s/it]
Loss after 49796examples: 1.047
Loss after 49896examples: 1.147
Loss after 49996examples: 2.562
Loss after 50096examples: 1.267
Loss after 50196examples: 0.557
Loss after 50296examples: 1.290
Loss after 50396examples: 2.579
Loss after 50496examples: 1.199
Loss after 50596examples: 1.440
Loss after 50696examples: 2.077
Loss after 50796examples: 1.080
Loss after 50896examples: 1.370
Loss after 50996examples: 1.479
Loss after 51096examples: 1.384
Loss after 51196examples: 3.231
Loss after 51296examples: 1.196
Loss after 51396examples: 0.576
Loss after 51496examples: 1.656
Loss after 51596examples: 1.107
Loss after 51696examples: 0.574
Loss after 51796examples: 1.093
Loss after 51896examples: 1.016
Loss after 51996examples: 1.331
Loss after 52096examples: 1.141
Loss after 52196examples: 1.460
Loss after 52296examples: 1.714
Loss after 52396examples: 1.762
Loss after 52496examples: 1.181
Loss after 52596examples: 1.541
Loss after 52696examples: 1.335
Loss after 52796examples: 1.988
Loss after 52896examples: 1.028
Loss after 52996examples: 0.958
Loss after 53096examples: 1.010
Loss after 53196examples: 1.248
Loss after 53296examples: 3.200
Loss after 53396examples: 0.881
Loss after 53496examples: 1.712
Loss after 53596examples: 2.010
Loss after 53696examples: 0.946
Loss after 53796examples: 0.520
Loss after 53896examples: 1.041
Loss after 53996examples: 1.200
Loss after 54096examples: 1.571
Loss after 54196examples: 0.933
Loss after 54296examples: 1.973
Loss after 54396examples: 1.551
Loss after 54496examples: 2.143
Loss after 54596examples: 1.302
Loss after 54696examples: 0.414
Loss after 54796examples: 1.601
Loss after 54896examples: 2.010
Loss after 54996examples: 0.790
Loss after 55096examples: 1.488
Loss after 55196examples: 0.638
Loss after 55296examples: 1.664
Loss after 55396examples: 1.107
Loss after 55496examples: 0.309
Loss after 55596examples: 1.464
Loss after 55696examples: 1.547
Loss after 55796examples: 0.773
Loss after 55896examples: 0.935
Loss after 55996examples: 0.939
Loss after 56096examples: 2.193
Loss after 56196examples: 1.007
Loss after 56296examples: 2.739
Loss after 56396examples: 1.028
Loss after 56496examples: 1.681
Loss after 56596examples: 1.857
Loss after 56696examples: 1.403
Loss after 56796examples: 0.816
Loss after 56896examples: 1.096
Loss after 56996examples: 0.980
Loss after 57096examples: 1.115
Loss after 57196examples: 2.477
Loss after 57296examples: 1.916
Loss after 57396examples: 1.574
Loss after 57496examples: 1.853
Loss after 57596examples: 1.249
Loss after 57696examples: 1.513
Loss after 57796examples: 0.992
Loss after 57896examples: 0.710
Loss after 57996examples: 2.342
Loss after 58096examples: 1.613
Loss after 58196examples: 3.466
Loss after 58296examples: 1.282
Loss after 58396examples: 1.167
Loss after 58496examples: 1.138
Loss after 58596examples: 2.935
Loss after 58696examples: 1.004
Loss after 58796examples: 1.721
Loss after 58896examples: 1.772
Loss after 58996examples: 1.671
Loss after 59096examples: 1.021
Loss after 59196examples: 1.915
Loss after 59296examples: 2.075
Loss after 59396examples: 1.036
Loss after 59496examples: 0.990
Loss after 59596examples: 1.493
Loss after 59696examples: 1.566
Loss after 59796examples: 0.679
Loss after 59896examples: 2.144
Loss after 59996examples: 1.605
Loss after 60096examples: 1.038
Loss after 60196examples: 1.471
Loss after 60296examples: 1.222
Loss after 60396examples: 1.053
Loss after 60496examples: 1.260
Loss after 60596examples: 1.000
Loss after 60696examples: 1.451
Loss after 60796examples: 1.575
Loss after 60896examples: 1.030
Loss after 60996examples: 1.401
Loss after 61096examples: 1.282
Loss after 61196examples: 1.358
Loss after 61296examples: 1.980
Loss after 61396examples: 1.011
Loss after 61496examples: 1.224
Loss after 61596examples: 1.069
Loss after 61696examples: 0.898
Loss after 61796examples: 1.542
Loss after 61896examples: 0.721
Loss after 61996examples: 1.423
Loss after 62096examples: 2.333
Loss after 62196examples: 1.770
Loss after 62296examples: 0.701
Loss after 62396examples: 1.848
Loss after 62496examples: 1.586
Loss after 62596examples: 1.986
Loss after 62696examples: 2.451
Loss after 62796examples: 1.875
Loss after 62896examples: 2.363
Loss after 62996examples: 0.840
Loss after 63096examples: 2.417
Loss after 63196examples: 1.280
Loss after 63296examples: 1.494
Loss after 63396examples: 2.572
Loss after 63496examples: 0.735
Loss after 63596examples: 0.775
Loss after 63696examples: 1.512
Loss after 63796examples: 1.216
Loss after 63896examples: 0.778
Loss after 63996examples: 2.422
Loss after 64096examples: 1.519
Loss after 64196examples: 1.035
Loss after 64296examples: 1.969
Loss after 64396examples: 1.650
Loss after 64496examples: 1.519
Loss after 64596examples: 0.933
Loss after 64696examples: 1.126
Loss after 64796examples: 1.260
Loss after 64896examples: 1.401
Loss after 64996examples: 1.335
Loss after 65096examples: 0.932
Loss after 65196examples: 1.697
Loss after 65296examples: 0.514
Loss after 65396examples: 0.996
Loss after 65496examples: 1.475
Loss after 65596examples: 1.525
Loss after 65696examples: 0.966
Loss after 65796examples: 0.815
Loss after 65896examples: 1.345
Loss after 65996examples: 0.431
Loss after 66096examples: 0.455
Loss after 66196examples: 0.537
Loss after 66296examples: 0.889
Loss after 66396examples: 0.460
Loss after 66496examples: 1.556
Loss after 66596examples: 1.779
Loss after 66696examples: 1.728
Loss after 66796examples: 1.777
Loss after 66896examples: 0.551
Loss after 66996examples: 1.669
Loss after 67096examples: 1.101
Loss after 67196examples: 2.327
Loss after 67296examples: 1.605
Loss after 67396examples: 1.776
Loss after 67496examples: 2.437
Loss after 67596examples: 0.220
Loss after 67696examples: 2.348
Loss after 67796examples: 1.103
Loss after 67896examples: 1.281
Loss after 67996examples: 1.125
Loss after 68096examples: 1.215
Loss after 68196examples: 1.427
Loss after 68296examples: 1.101
Loss after 68396examples: 0.906
Loss after 68496examples: 1.119
Loss after 68596examples: 1.265
Loss after 68696examples: 1.565
Loss after 68796examples: 0.805
Loss after 68896examples: 1.763
Loss after 68996examples: 1.476
Loss after 69096examples: 1.461
Loss after 69196examples: 1.274
Loss after 69296examples: 1.160
Loss after 69396examples: 2.598
Loss after 69496examples: 0.944
Loss after 69596examples: 1.997
Loss after 69696examples: 1.362
Loss after 69796examples: 1.876
Loss after 69896examples: 1.668
Loss after 69996examples: 1.359
Loss after 70096examples: 3.025
Loss after 70196examples: 0.966
Loss after 70296examples: 0.765
Loss after 70396examples: 1.525
Loss after 70496examples: 1.451
Loss after 70596examples: 1.090
Loss after 70696examples: 1.511
Loss after 70796examples: 0.944
Loss after 70896examples: 1.163
Loss after 70996examples: 1.587
Loss after 71096examples: 0.573
Loss after 71196examples: 1.558
Loss after 71296examples: 1.383
Loss after 71396examples: 1.129
Loss after 71496examples: 0.441
Loss after 71596examples: 1.957
Loss after 71696examples: 0.980
Loss after 71796examples: 1.186
Loss after 71896examples: 1.349
Loss after 71996examples: 1.280
Loss after 72096examples: 1.456
Loss after 72196examples: 0.863
Loss after 72296examples: 1.610
Loss after 72396examples: 1.975
Loss after 72496examples: 1.429
Loss after 72596examples: 1.499
Loss after 72696examples: 2.344
Loss after 72796examples: 0.884
